linker_smiles,count
CC1(C(=O)[O-])CCC(C(=O)[O-])C1(C)C,30
O=C([O-])COc1ccc(OCC(=O)[O-])cc1,30
O=C([O-])c1ccc(C(=O)[O-])o1,30
[O-][n+]1ccc(-c2cc[n+]([O-])cc2)cc1,30
[CH]1C=NN=N1,30
c1cc(CN2CCN(Cc3ccncc3)CC2)ccn1,30
C1=CN=N[N]1,29
O=C([O-])c1ccccc1,28
c1cn(-c2cc(-n3ccnc3)cc(-n3ccnc3)c2)cn1,28
O=C([O-])c1ccc(C(=O)[O-])c(F)c1,28
O=C([O-])C#CC12CCC(C#CC(=O)[O-])(CC1)CC2,28
Cc1nccn1CCCCn1ccnc1C,27
N=CC=N,27
O=C([O-])c1cc(F)c(C(=O)[O-])cc1F,27
c1cnc2c(n1)CC2,27
O=C([O-])c1cc2sc(C(=O)[O-])cc2s1,27
O=C([O-])c1cccnc1-c1ncccc1C(=O)[O-],26
Cc1cnc(C)cn1,26
O=C([O-])c1c(Cl)c(Cl)c(C(=O)[O-])c(Cl)c1Cl,26
c1cnc(-c2ncccn2)nc1,26
[O]P([O])([O])=O,26
O=C([O-])c1sc2c(F)c(C(=O)[O-])sc2c1F,26
O=C([O-])c1cc2sc(C(=O)[O-])c(Cl)c2s1,26
c1cn(Cn2ccnc2)cn1,25
NC1=NN=N[N]1,25
O=C([O-])c1cc(C(=O)[O-])nc(C(=O)[O-])c1,25
Cc1c(C)c(C(=O)[O-])c(C)c(C)c1C(=O)[O-],25
O=C([O-])c1ccc(C(=O)[O-])c(Cl)c1,25
O=C([O-])c1cc2sc(C(=O)[O-])c(F)c2s1,25
O=C([O-])c1ccc(C(=O)[O-])c([N+](=O)[O-])c1,24
c1cc(C2=NN=N[N]2)ccn1,24
O=C([O-])c1ccc(C(=O)[O-])c(O)c1,24
O=C([O-])c1sc2c(Cl)c(C(=O)[O-])sc2c1Cl,24
O=C([O-])c1sc2c(O)c(C(=O)[O-])sc2c1O,24
c1ncn(CCn2cncn2)n1,23
NC1=NN=C[N]1,23
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],23
[O]S([O])([O])c1cccc2c(S([O])([O])[O])cccc12,23
O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c1CC2,23
c1cc(SSc2ccncc2)ccn1,22
c1cc(Cn2ccnc2)cc(Cn2ccnc2)c1,22
Nc1cc(C(=O)[O-])c(N)cc1C(=O)[O-],22
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cn2)nc1,22
C1CNCCN1,22
c1cn(-c2ccc(-c3ccc(-n4ccnc4)cc3)cc2)cn1,22
O=C([O-])c1ccc2ccc3c4cc(C(=O)[O-])ccc4ccc3c2c1,22
[O]S([O])(O)c1cc(C(=O)[O-])c(S([O])([O])O)cc1C(=O)[O-],22
[O]S([O])(O)c1c(C(=O)[O-])sc2cc(C(=O)[O-])sc12,22
c1cc(C2C(c3ccncc3)C(c3ccncc3)C2c2ccncc2)ccn1,21
O=C([O-])Cc1cccc(CC(=O)[O-])c1,21
[CH]([N][N][CH]c1cccnc1)c1cccnc1,21
O=C([O-])c1ccccn1,21
C1=NC=N[N]1,21
O=C([O-])c1ccc([N][N]c2ccc(C(=O)[O-])c(Cl)c2)cc1Cl,21
Cc1cc(C(=O)[O-])c(C)cc1C(=O)[O-],21
[O]S([O])(O)c1cc(C(=O)[O-])ccc1C(=O)[O-],21
Nc1c(C(=O)[O-])sc2cc(C(=O)[O-])sc12,21
O=C([O-])c1cc2sc(C(=O)[O-])c(O)c2s1,21
O=C([O-])c1ccc(C(=O)[O-])c(C(=O)[O-])c1,20
NC(CC(=O)[O-])C(=O)[O-],20
c1ccc(Cn2ccnc2)c(Cn2ccnc2)c1,20
C(#Cc1ccncc1)c1ccncc1,20
O=C1[C](Cl)C(=O)C(=O)[C](Cl)C1=O,20
Nc1c(N)c(C(=O)[O-])c(N)c(N)c1C(=O)[O-],20
Cc1c(C(=O)[O-])sc2cc(C(=O)[O-])sc12,20
O=C([O-])c1cc(C(=O)[O-])ncn1,19
CC1=NN=N[N]1,19
O=C([O-])Cn1cnnn1,19
O=C([O-])c1cnc(C(=O)[O-])cn1,19
c1cc(OCC(COc2ccncc2)(COc2ccncc2)COc2ccncc2)ccn1,19
c1cc(C2=N[N]N=N2)ccn1,19
N#N,19
O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)cc1,19
O=C([O-])c1cc([N+](=O)[O-])c(C(=O)[O-])cc1[N+](=O)[O-],19
O=C([O-])CN(CC(=O)[O-])CC(=O)[O-],18
O=C([O-])C1CCCCC1C(=O)[O-],18
O=C([O-])c1ccc(-c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc1,18
[O]S([O])([O])c1cc(C(=O)[O-])ccc1C(=O)[O-],18
O=C([O-])c1c2ccccc2c(C(=O)[O-])c2ccccc12,18
O=C([O-])c1ccc2ccc3c(C(=O)[O-])cccc3c2c1,18
O=C([O-])c1cc(F)c(C(=O)[O-])c2c1CC2,18
O=C([O-])c1ccc(C2=N[N]C(c3ccc(C(=O)[O-])cc3)=N[N]2)cc1,18
O=C([O-])c1c(Cl)c(Cl)c(C(=O)[O-])c2ccccc12,18
O=C([O-])c1sc2c(Br)c(C(=O)[O-])sc2c1Br,18
O=C(c1ccncc1)N1CCN(C(=O)c2ccncc2)CC1,17
O=C([O-])Cc1ccccc1CC(=O)[O-],17
C(=Cc1ccc(C=Cc2ccncc2)cc1)c1ccncc1,17
COc1cc(C(=O)[O-])cc(C(=O)[O-])c1,17
c1ccc2nccnc2c1,17
O=C([O-])c1cccc([N+](=O)[O-])c1C(=O)[O-],17
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(F)c2)cc1F,17
c1cc2cnccc2cn1,17
Nc1cc([N][N]c2ccc(C(=O)[O-])c(N)c2)ccc1C(=O)[O-],17
O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])c(Cl)c2)cc1Cl,17
O=C([O-])C1=NN=N[N]1,16
O=C([O-])c1ccccc1-c1ccccc1C(=O)[O-],16
Cc1nccnc1C,16
O=C([O-])c1ccnc(-c2cc(C(=O)[O-])ccn2)c1,16
O=C([O-])CSc1nnc(SCC(=O)[O-])s1,16
N#Cc1ccc(C#N)cc1,16
O=C([O-])C=Cc1ccccc1,16
O=C([O-])c1ccc(C(=O)c2ccc(C(=O)[O-])cc2)cc1,16
O=C([O-])CN1CC(=O)N(CC(=O)[O-])CC1=O,16
O=C1c2ccc3c4c(ccc(c24)C(=O)N1c1ccncc1)C(=O)N(c1ccncc1)C3=O,16
NCCCN,16
O=C([O-])[C]1N=CN=C1C(=O)[O-],16
C1=N[N]C=C1c1ccc([C]2C=NN=C2)cc1,16
Cc1cc(-c2ccc(C(=O)[O-])c(C)c2)ccc1C(=O)[O-],16
O=C([O-])c1cc(Cl)c(C(=O)[O-])c2c1CC2,16
O=C([O-])c1ccc([N][N]c2ccc(C(=O)[O-])c(O)c2)cc1O,16
O=C([O-])c1cc2c3c(c1)CCc1cc(C(=O)[O-])cc(c1-3)CC2,16
O=C([O-])CCCCCCC(=O)[O-],15
O=C([O-])c1cc(Br)cc(C(=O)[O-])c1,15
c1ccc2nc3ccccc3nc2c1,15
c1nncn1CCn1cnnc1,15
[O]S([O])([O])C(F)(F)F,15
[CH]1N=C[N]N1Cc1ccc(CN2[CH]N=C[N]2)cc1,15
Cc1nc2ccccc2n1CCCCn1c(C)nc2ccccc21,15
O=C([O-])c1cc([N][N]c2cc(C(=O)[O-])cc(C(=O)[O-])c2)cc(C(=O)[O-])c1,15
O=C([O-])C1=C(C(=O)[O-])N=C[N]1,15
O=C([O-])C1=C(C(=O)[O-])N=N[N]1,15
O=C([O-])[C]1N=NN=C1C(=O)[O-],15
O=C([O-])[O-],15
c1cn(CCn2ccnc2)cn1,15
Cc1cc(C(=O)[O-])ccc1C(=O)[O-],15
O=C([O-])c1c(Br)c(Br)c(C(=O)[O-])c2ccccc12,15
O=C([O-])c1c(O)c(O)c(C(=O)[O-])c(O)c1O,15
C(#CC#CC1=C[N]N=C1)C#C[C]1C=NN=C1,15
O=C([O-])c1cc2sc(C(=O)[O-])c(Br)c2s1,15
O=C([O-])c1c(Cl)c(Cl)c(C(=O)[O-])c2c1CC2,15
O=C([O-])CC1=NN=N[N]1,14
Nn1c(-c2ccncc2)nnc1-c1ccncc1,14
CC1=NN=C(C)[N]1,14
O=C([O-])c1ccc2[nH]cnc2c1,14
[O]C(CC(=O)[O-])C(=O)[O-],14
O=C(Nc1cccnc1)c1cccnc1,14
O=C([O-])c1ccc(-c2cc(-c3ccc(C(=O)[O-])cc3)cc(-c3ccc(C(=O)[O-])cc3)c2)cc1,14
[O]P(=O)(O)Cc1ccc(C(=O)O)cc1,14
O=C([O-])c1nc(-c2ccncc2)[nH]c1C(=O)[O-],14
CC(C)(C)c1cc(C(=O)[O-])cc(C(=O)[O-])c1,14
Cc1cc(-n2ccnc2)c(C)cc1-n1ccnc1,14
O=C([O-])c1ccc(-c2ccncc2)cc1,14
c1cc(Sc2ccncc2)ccn1,14
O=C([O-])c1ccc(N2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(c2ccc(C(=O)[O-])cc2)C4=O)cc1,14
O=C([O-])c1ccc(C(=O)[O-])c(C(=O)O)c1,14
Nc1cc(C(=O)[O-])ccc1C#Cc1ccc(C(=O)[O-])cc1N,14
O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2ccccc12,14
O=C([O-])c1c(O)c(O)c(C(=O)[O-])c2ccccc12,14
O=C([O-])c1cc2sc(C(=O)[O-])c([N+](=O)[O-])c2s1,14
Cc1nc(C)c(C)nc1C,13
Cc1cc(C(=O)[O-])ccc1C#Cc1ccc(C(=O)[O-])cc1C,13
[O]c1cc(C(=O)[O-])nc(C(=O)[O-])c1,13
[CH]1N=C[N]N1Cc1ccc(-c2ccc(CN3[CH]N=C[N]3)cc2)cc1,13
CC=CC(=O)[O-],13
O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,13
[CH]1N=C[N]N1CCCCN1[CH]N=C[N]1,13
C1=NN=N[N]1,13
N#C[C](C#N)c1ccc([C](C#N)C#N)cc1,13
O=C([O-])c1cccc(C(=O)[O-])c1C(=O)[O-],13
O=C([O-])c1ccc(-n2ccnc2)cc1,13
[CH]1N=NC=C1c1ccc(C2=CN=N[CH]2)cc1,13
O=C([O-])c1c(Cl)c(Cl)c(C(=O)[O-])c2cc(Cl)c(Cl)cc12,13
Nc1c(N)c(C(=O)[O-])c2c(c1C(=O)[O-])CC2,13
O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2O)c(O)c1,13
O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2F)c(F)c1,13
O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])c(F)c2)cc1F,13
O=C([O-])c1c(O)c(O)c(C(=O)[O-])c2c(O)c(O)c(O)c(O)c12,13
Nc1c(C(=O)[O-])sc2c(N)c(C(=O)[O-])sc12,13
c1ncc(-c2ccc(-c3cnc[nH]3)cc2)[nH]1,12
O=C([O-])c1ccc(C(c2ccc(C(=O)[O-])c(C(=O)[O-])c2)(C(F)(F)F)C(F)(F)F)cc1C(=O)[O-],12
c1cnc(C2=NN=N[N]2)cn1,12
O=C([O-])C(F)(F)F,12
c1ncn(CCCCn2cncn2)n1,12
O=C([O-])CCn1c(=O)n(CCC(=O)[O-])c(=O)n(CCC(=O)[O-])c1=O,12
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-],12
O=C([O-])c1ccc[nH]c1=O,12
O=C([O-])c1cccc(-n2ccc(=O)cc2)c1C(=O)[O-],12
Cc1nc(C(=O)[O-])c(C(=O)[O-])[nH]1,12
c1cc(Nc2ccncc2)ccn1,12
O=C([O-])C=Cc1ccncc1,12
CN1C=N[N]C1=S,12
O=C([O-])c1cncc(-c2ccccc2C(=O)[O-])c1,12
[CH]1N=C[N]N1CCCn1cncn1,12
O=C([O-])c1ccc(N(c2ccc(C(=O)[O-])cc2)c2ccc(C(=O)[O-])cc2)cc1,12
O=C([O-])c1cc(C(=O)[O-])cc(-n2cnnc2)c1,12
O=C([O-])C(O)(O)C(=O)[O-],12
N#CC#N,12
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(O)c2)cc1O,12
O=C([O-])C(F)=C(F)C(=O)[O-],12
O=C([O-])c1cc(F)c(C#Cc2c(F)cc(C(=O)[O-])cc2F)c(F)c1,12
Nc1ccc(C(=O)[O-])cc1,11
O=C([O-])CN(CC(=O)[O-])c1ccc(C(=O)[O-])cc1,11
N#C[Se],11
O=C([O-])C(O)C(O)C(=O)[O-],11
c1cncc(C2=NN=N[N]2)c1,11
c1cc(-c2nnc(-c3ccncc3)o2)ccn1,11
O=C([O-])c1ccc(-c2ccccc2C(=O)[O-])cc1,11
c1cn(CCCn2ccnc2)cn1,11
c1cc(-n2ccnc2)nc(-n2ccnc2)c1,11
c1ccnnc1,11
O=C([O-])c1cc(OCc2ccc(COc3cc(C(=O)[O-])cc(C(=O)[O-])c3)cc2)cc(C(=O)[O-])c1,11
CC1=NC=C[N]1,11
c1cncc(CN2CCN(Cc3cccnc3)CC2)c1,11
O=C([O-])C12CC3CC(C1)CC(C(=O)[O-])(C3)C2,11
c1cc(-c2nnc(-c3ccncc3)s2)ccn1,11
Cc1cnccn1,11
O=C([O-])c1ccc[n+]([O-])c1,11
O=C([O-])Cc1ccccc1C(=O)[O-],11
Nc1cnccn1,11
O=C([O-])CSc1ccncc1,11
O=C([O-])c1c(I)c(I)c(C(=O)[O-])c(I)c1I,11
c1cn(CCCCCCn2ccnc2)cn1,11
CC(O)(P([O])([O])=O)P([O])([O])=O,11
O=C([O-])CC12CC3CC(C1)CC(CC(=O)[O-])(C3)C2,11
O=C1NCCN1,11
O=C([O-])c1cncc(Br)c1,11
C(C#Cc1ccncc1)#Cc1ccncc1,11
c1cc([C]2N=C(c3ccncc3)[N]N2)ccn1,11
c1ccc2c(-c3ccncc3)c3ccccc3c(-c3ccncc3)c2c1,11
O=C([O-])C(=O)O,11
[O]P([O])(=O)C1=CC=C2[CH]C=CC=C2N1,11
[O]P([O])(=O)C1=CC=C2C=CC=C[C]2N1,11
O=C([O-])c1cc(Br)c(C(=O)[O-])cc1Br,11
O=C([O-])c1cc(Br)c(C(=O)[O-])c2c1CC2,11
O=C([O-])c1ccc(C(=O)[O-])c(Br)c1,11
O=C([O-])c1ccc(-c2cc(-c3ccc(C(=O)[O-])cc3)c3ccc4c(-c5ccc(C(=O)[O-])cc5)cc(-c5ccc(C(=O)[O-])cc5)c5ccc2c3c54)cc1,11
Cc1cc([N][N]c2ccc(C(=O)[O-])c(C)c2)ccc1C(=O)[O-],11
O=C([O-])c1ccc(C#Cc2ccc(C(=O)[O-])cc2Cl)c(Cl)c1,11
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2F)c(F)c1,11
Cc1cc2c(C(=O)[O-])ccc(C(=O)[O-])c2cc1C,11
O=C([O-])c1c(O)c(O)c(C(=O)[O-])c2cc(O)c(O)cc12,11
Nc1c(N)c(C(=O)[O-])c2ccccc2c1C(=O)[O-],11
O=C([O-])c1c(F)c(F)c(C(=O)[O-])c2c(F)c(F)c(F)c(F)c12,11
O=C([O-])C1=NN=C(C(=O)[O-])[CH]1,10
O=C([O-])C1=CC(C(=O)[O-])=N[N]1,10
C[O],10
O=C([O-])c1cncc(Cl)c1,10
NC1=N[N]C=N1,10
O=C([O-])c1ccc(Oc2ccc(C(=O)[O-])c(C(=O)[O-])c2)cc1C(=O)[O-],10
Nc1ncccn1,10
c1cc(Cn2cnnc2)ccc1Cn1cnnc1,10
O=C([O-])c1cc(C(=O)[O-])cc(C2=NN=N[N]2)c1,10
O=C([O-])CCCCCC(=O)[O-],10
C[C]([N][N][C](C)c1ccncc1)c1ccncc1,10
O=C([O-])c1cc(C(=O)[O-])cc(-c2ccncc2)c1,10
O=C([O-])CSCC(=O)[O-],10
[CH]1N=C[N]N1Cc1ccc(Cn2cncn2)cc1,10
O=C([O-])c1ccc([N+](=O)[O-])cc1,10
c1cc(C2=N[N]C(c3ccncc3)=N[N]2)ccn1,10
O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,10
C1=N[N]N=C1,10
C(C=Cc1ccncc1)=Cc1ccncc1,10
[O]S([O])([O])c1ccccc1C(=O)[O-],10
[O]C1=C[CH]N(c2cccc(C(=O)[O-])c2C(=O)[O-])C=C1,10
C(=Nc1cccc2c(N=Cc3ccncc3)cccc12)c1ccncc1,10
[O]P([O])(=O)CCP([O])([O])=O,10
O=C([O-])c1cccc(C2=NN=N[N]2)c1,10
O=C1[CH]C(=O)NC(=S)N1,10
CC([O])C(=O)[O-],10
O=C([O-])c1c(C(=O)[O-])c(C(=O)[O-])c(C(=O)[O-])c(C(=O)[O-])c1C(=O)[O-],10
c1cc(-c2nnc(-c3ccncc3)nn2)ccn1,10
C1=Nc2ccccc2[N]1,10
O=C(NCCCCCCNC(=O)c1cccnc1)c1cccnc1,10
Cc1nccn1Cc1ccc(Cn2ccnc2C)cc1,10
O=C([O-])c1ccc([N+](=O)[O-])cc1C(=O)[O-],10
c1ccc(Cn2cncn2)c(Cn2cncn2)c1,10
O=C([O-])c1cc(NCc2ccncc2)cc(C(=O)[O-])c1,10
O=C([O-])c1ccc(OCC(COc2ccc(C(=O)[O-])cc2)(COc2ccc(C(=O)[O-])cc2)COc2ccc(C(=O)[O-])cc2)cc1,10
O=C([O-])c1cc(-c2ccccc2)c(C(=O)[O-])cc1-c1ccccc1,10
NC(C(=O)[O-])=C(N)C(=O)[O-],10
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c(Cl)c2)cc1Cl,10
O=C([O-])c1cc(O)c(C#Cc2c(O)cc(C(=O)[O-])cc2O)c(O)c1,10
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])c([N+](=O)[O-])c2)cc1[N+](=O)[O-],10
C1=N[N]C=C1c1ccc([N][N]c2ccc([C]3C=NN=C3)cc2)cc1,10
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2O)c(O)c1,10
O=C([O-])c1ccc([N][N]c2ccc(C(=O)[O-])c(F)c2)cc1F,10
O=C([O-])C(O)=C(O)C(=O)[O-],10
O=C([O-])c1ccc(C(O)=C(O)c2ccc(C(=O)[O-])cc2)cc1,10
O=C([O-])c1c(F)c(F)c(C#Cc2c(F)c(F)c(C(=O)[O-])c(F)c2F)c(F)c1F,10
O=C([O-])c1sc2c(C(=O)O)c(C(=O)[O-])sc2c1C(=O)O,10
OC(=C(O)c1ccncc1)c1ccncc1,10
N#C[C](C#N)C#N,9
O=C([O-])c1cc2ccccc2cc1C(=O)[O-],9
CO,9
CCc1cnccn1,9
[O]P([O])(=O)c1ccc(C(=O)[O-])cc1,9
NCCCCN,9
O=C([O-])C=Cc1cccnc1,9
c1ncn(CCCn2cncn2)n1,9
[O]P(=O)(O)O,9
c1ccc(-c2nc(-c3ccccn3)c(-c3ccccn3)nc2-c2ccccn2)nc1,9
NCc1cccnc1,9
[O-][n+]1ccccc1,9
O=C([O-])COc1ccc(C(=O)[O-])cc1,9
CC1=N[CH]C=N1,9
O=C([O-])CCCCCCCC(=O)[O-],9
O=C([O-])c1cccc(C(=O)[O-])[n+]1[O-],9
O=C(CCCCCCC(=O)Nc1cccnc1)Nc1cccnc1,9
O=C([O-])C=Cc1ccc(C=CC(=O)[O-])cc1,9
O=C([O-])C1CC(C(=O)[O-])CC(C(=O)[O-])C1,9
O=C([O-])c1c([N+](=O)[O-])c([N+](=O)[O-])c(C(=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],9
O=S(=O)=O,9
O=C([O-])c1c(C(=O)O)c(C(=O)O)c(C(=O)[O-])c(C(=O)O)c1C(=O)O,9
c1nnc[nH]1,9
[O]S([O])([O])c1ccc2cc(S([O])([O])[O])ccc2c1,9
[O][As]([O])O,9
O=C([O-])c1ccc2c(c1)[N]N=N2,9
O=C([O-])c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)[O-])cc3)n2)cc1,9
O=C([O-])C1CC(C(=O)[O-])C(C(=O)[O-])CC1C(=O)[O-],9
O=C([O-])c1cccc(Oc2cccnc2)c1C(=O)[O-],9
[S]c1ccccc1,9
[O]P([O])(=O)CN1CCC(C(=O)[O-])CC1,9
c1cc(-c2ccnnc2)cnn1,9
O=C([O-])c1cccc(-c2ccncc2)c1,9
c1cn(CCOCCn2ccnc2)cn1,9
O=C([O-])c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,9
Cc1c(C)c(C(=O)[O-])c2c(c1C(=O)[O-])CC2,9
[NH][NH],9
O=C([O-])c1ccc(C(=O)[O-])c2cc(O)c(O)cc12,9
Cc1cc(C#Cc2ccc(C(=O)[O-])c(C)c2)ccc1C(=O)[O-],9
Nc1cc(C#Cc2ccc(C(=O)[O-])c(N)c2)ccc1C(=O)[O-],9
Cc1c(C)c(C(=O)[O-])c2ccccc2c1C(=O)[O-],9
Cc1c(C(=O)[O-])sc2c(C)c(C(=O)[O-])sc12,9
O=C([O-])c1ccc(C(=O)[O-])c2cc(Br)c(Br)cc12,9
O=C([O-])c1ccc(C(=O)[O-])c2cc([N+](=O)[O-])c([N+](=O)[O-])cc12,9
O=C(O)c1c(C(=O)O)c(C(=O)[O-])c2ccccc2c1C(=O)[O-],9
O=C([O-])c1ccc(-c2ccc(C(=O)[O-])cc2Cl)c(Cl)c1,9
O=C([O-])c1cc(O)c2cc(C(=O)[O-])cc(O)c2c1,9
O=C([O-])c1cc(I)cc(C(=O)[O-])c1,8
c1cn(Cc2cc(Cn3ccnc3)cc(Cn3ccnc3)c2)cn1,8
O=C([O-])c1ccc(Cl)cc1,8
Nc1cccc(C(=O)[O-])c1,8
O=C([O-])c1ccc(-c2ccc(N(c3ccc(-c4ccc(C(=O)[O-])cc4)cc3)c3ccc(-c4ccc(C(=O)[O-])cc4)cc3)cc2)cc1,8
O=C([O-])c1ccccc1SSc1ccccc1C(=O)[O-],8
[CH]1C=CC2=NN=NC2=C1,8
O=C([O-])c1ccc(N(c2ccccc2)c2ccc(C(=O)[O-])cc2)cc1,8
[O].[O][Se][O],8
O=C([O-])c1ncccn1,8
c1cc(-c2cnc[nH]2)cc(-c2cnc[nH]2)c1,8
Cn1nnnc1[N][N+](=O)[O-],8
