node_smiles,count
[OH2][Sm]([OH2])([OH2])([OH2])[OH2],5
[OH2][Gd]([OH2])([OH2])([OH2])[OH2],5
F[Zn],5
I[Cu]I,5
[Cd][OH]([Cd][OH]([Cd])[Cd])[Cd],5
[Cd][OH]1[Cd][OH]([Cd]1)[Cd],5
[Zn]I,5
[Sn][O]1[Sn][O]([Sn]1)[Sn],5
[OH2][Yb]([OH2])[OH2],5
[Mn][OH2][Mn],5
[OH2][Cd]I,5
[OH2][Co]([OH2])[OH2],5
[Zn][OH]([Zn][OH]([Zn])[Zn])[Zn],5
[O][V][O],5
[Th],5
[Li][OH2][Li],5
Br[Ag][Ag]Br,4
[OH2][Pb],4
Cl[Cd](Cl)Cl,4
Cl[Ag],4
[OH2][La]([OH2])([OH2])([OH2])[OH2],4
[OH2][Nd]([OH2])([OH2])([OH2])[OH2],4
[OH2][Dy]([OH2])([OH2])([OH2])[OH2],4
[Co][OH]([Co])[Co],4
[F],4
[Sn][O]([Sn])[Sn],4
[Ag]1[Ag][Ag][Ag][Ag][Ag]1,4
[Cu][O]1[Cu][O]([Cu]1)[Cu],4
[Rb][OH2][Rb],4
[OH2][Co][OH2][Co][OH2],4
[OH2][Sn],4
Cl[Au][Au]Cl,4
[OH2][Sr]1([OH2])[OH2][Sr]([OH2]1)([OH2])[OH2],4
Cl[Fe],4
[OH2][Cu]Cl,4
[Cu][OH][Cu],4
[OH2][Cd](Cl)[OH2],4
[Ni][OH]1[Ni][OH]([Ni]1)[Ni],4
F[Zn]F,4
O[Zr]123(O)[OH]4[Zr]56([O]3[Zr]37([OH]2[Zr]28([O]1[Zr]14([O]6[Zr]([OH]53)([OH]21)([O]78)(O)O)([OH2])([OH2])O)[OH2])([OH2])([OH2])O)[OH2],4
[OH2][Ag][Ag][Ag][Ag][OH2],3
[OH2][Ag][Ag][OH2],3
[OH2][Mn]Cl,3
[OH2][Cu][OH][Cu][OH][Cu][OH2],3
[O][V]O[Cu],3
I[Ag][Ag]I,3
[OH2][Ba]1[OH2][Ba]([OH2]1)[OH2],3
[OH2][Cu]([OH2])[OH2],3
I[Cu][Cu]([Cu]I)I,3
[OH2][Tb]([OH2])([OH2])([OH2])([OH2])[OH2],3
[Zn][OH]([Zn])[Zn],3
[OH2][Cs]1[OH2][Cs]([OH2]1)[OH2],3
[Cu]1[Cu][Cu][Cu][Cu][Cu]1,3
[OH2][La]([OH2])([OH2])[OH2],3
[Ru],3
[Nb],3
[Ag]12[Ag]3[Ag]1[Ag]23,3
[Au]1[Au][Au][Au]1,3
Cl[Pd]Cl,3
[OH2][Cu][OH][Cu],3
Cl[Hg],3
[Rb]1[OH2][Rb][OH2]1,3
[OH2][Yb]([OH2])([OH2])([OH2])[OH2],3
Cl[Cd](Cl)(Cl)Cl,3
[OH2][Co][OH2][Co][OH2][Co][OH2],3
I[Cu]12(I)[Cu]3[Cu]1([Cu]23I)I,3
[OH2][Ho]([OH2])([OH2])[OH2],3
[OH2][Pr]([OH2])([OH2])[OH2],3
[OH2][Cd]1[OH2][Cd]([OH2]1)[OH2],3
[OH2][Ni][OH2][Ni][OH2],3
[OH2][K][OH2][K],3
[OH2][Th][OH2],3
[Li][OH2][Li][OH2],3
[O][Pu][O],3
[OH2][Ba]1([OH2])[OH2][Ba]([OH2]1)([OH2])[OH2],3
[Cu][Cu]([Cu](I)(I)[Cu])(I)I,3
[Co][OH]1[Co][OH]([Co]1)[Co],3
[Zn][OH2][Zn],3
[OH2][Er]([OH2])([OH2])([OH2])[OH2],3
Cl[Ag][Ag]Cl,3
[Ba]1[OH2][Ba][OH2]1,3
[Cu]1[Cu]2[Cu]1[Cu]2,3
I[Cu]12[Cu]3[Cu]1[Cu]23(I)(I)I,3
[Cd][OH2][Cd][OH2][Cd],3
[OH2][Co](Cl)(Cl)[OH2],3
[Sr]1[OH2][Sr][OH2]1,3
[OH2][Mg][OH2][Mg][OH2][Mg][OH2],3
[Cu]1[S]2[Cu]3[Mo]4562[S]1[Cu]4[S]6[Cu][S]35,3
[OH2][Ce][OH2],3
[OH2][Cs][OH2],2
Cl[Cu][Cu](Cl)Cl,2
[OH2][Cd](Cl)(Cl)[OH2],2
[OH2][Yb]([OH2])([OH2])[OH2],2
[La]1[OH2][La][OH2]1,2
[Mn]1[OH][Mn][OH]1,2
[OH2][Mn][OH2][Mn][OH2],2
[Cu][Cu]([Cu](Br)(Br)[Cu])(Br)Br,2
[OH2][Zr][OH2],2
[O][Mo]12S[Mo]2(S1)[O],2
Cl[Sm](Cl)Cl,2
[OH2][Yb]1[OH][Yb]([OH]1)[OH2],2
[OH2][Sr]([OH2])([OH2])([OH2])[OH2],2
Cl[La](Cl)(Cl)Cl,2
Cl[La]Cl,2
Cl[Pr]Cl,2
[Hg][Hg],2
[OH2][Sm][Sm][OH2],2
Cl[Cu]([Cu])Cl,2
[OH2][Zn](F)F,2
[OH2][Ni]Cl,2
Cl[Ni],2
[Zn][OH]1[Zn]([OH2])[OH]([Zn]1[OH2])[Zn],2
[OH2][Tm]([OH2])[OH2],2
[OH2][Zn][OH]1[Zn]([OH2])[OH]([Zn]1[OH2])[Zn][OH2],2
[Cu]12[Cu]3[Cu]1[Cu]23,2
I[Cu]([Cu](I)I)I,2
Br[Cu]12[S]3[W]452([S]1[Cu]4[S]5[Cu]3)[O],2
[OH2][Bi],2
[Zn][O]([Zn][O]([Zn])([Zn])[Zn])([Zn])[Zn],2
[OH2][Sc],2
[OH2][Zn]1[OH2][Zn]([OH2]1)[OH2],2
[OH2][Lu]([OH2])[OH2],2
[OH2][Cd]Br,2
[OH2][Li][OH2][Li][OH2],2
[OH2][Ba]([OH2])([OH2])([OH2])[OH2],2
[Co][OH][Co][OH]1[Co][OH]([Co]1)[Co][OH][Co],2
[Co][OH]1[Co]([OH2])[OH]([Co]1[OH2])[Co],2
[OH2][Cu][Cu],2
I[Cu]1[S]2[Cu]3[W]4562[S]1[Cu]4[S]6[Cu]([S]35)I,2
Cl[Cd][Cd]Cl,2
[OH2][Cs],2
Br[Mn]Br,2
[OH2][In],2
[O][Mo](F)[O],2
[OH2][Co][OH]1[Co][OH]([Co]1)[Co][OH2],2
Br[Hg],2
[Cr][Cr],2
[Cd]1[OH2][Cd][OH2]1,2
[OH2][Cd](Cl)Cl,2
[Ni][OH2][Ni][OH2][Ni],2
Br[Al](Br)Br,2
[Be],2
[Cd][OH]1[Cd]([OH2])[OH]([Cd]1[OH2])[Cd],2
[Fe]O[Fe],2
[OH2][Al],2
I[Cu]12(I)[Cu]3[Cu]1[Cu]23(I)I,2
[Na][OH2][Zn],2
[OH2][Pr]([OH2])([OH2])([OH2])[OH2],2
[O][V]O[V](O[V](O[V][O])[O])[O],2
[Ca]1[OH2][Ca][OH2]1,2
[OH2][Cr][OH2],2
[OH2][La]([OH2])([OH2])([OH2])([OH2])[OH2],2
[OH2][Ag][Ag]([Ag]([Ag][OH2])[OH2])[OH2],2
[K][OH2][K][OH2][K],2
[K][K],2
[CoH],2
[OH2][Sc][OH2],2
[Fe][O]([Fe])[Fe],2
[OH2][Na]1([OH2])[OH2][Na]([OH2]1)([OH2])[OH2],2
[Ba][OH2][Ba],2
Br[Bi],2
[Gd]1[OH][Gd][OH]1,2
[OH2][Er]1[OH][Er]([OH]1)[OH2],2
[OH2][Mn](Cl)Cl,2
[OH2][Cu]([Cu])[OH2],2
[OH2][Tb]1([OH2])[OH2][Tb]([OH2]1)([OH2])[OH2],2
I[Ag][Ag]([Ag]([Ag]I)I)I,2
[Pr]1[Pr][OH]2[Pr][OH]1[Pr]2,2
O[Zn],2
[OH2][Gd]([OH2])([OH2])([OH2])([OH2])[OH2],2
I[Cu]1[Cu][Cu]1(I)I,2
[Cu][Cu](I)(I)I,2
[Cu][Cu]Br,2
[Co][OH]([Co]([OH]([Co])[Co])[OH2])[Co],2
F[Cu]F,2
Br[Co]Br,2
[OH2][Ni][OH]1[Ni]([OH2])[OH]([Ni]1[OH2])[Ni][OH2],2
[Cu][O]([Cu])[Cu],2
O[Cd],2
[OH2][Eu]([OH2])[OH2],2
[Tl],2
[OH2][Dy]1[OH][Dy]([OH]1)[OH2],2
[O][U](F)[O],2
[Ag][Ag][Ag][Ag][Ag][Ag],2
[Ag][OH2][Ag],2
[OH2][Zn][OH]([Zn][OH]([Zn][OH2])[Zn])[Zn],2
[Cu][OH]([Cu][OH]([Cu])[Cu])[Cu],2
[Mn]1[OH2][Mn][OH2]1,2
F[Mn](F)F,2
[OH2][Ho]([OH2])([OH2])([OH2])[OH2],2
[OH2][Tm]([OH2])([OH2])([OH2])[OH2],2
[Co][O]([Co])[Co],2
[Ni]12[OH]34[Ni]5[OH]62[Ni]2[OH]71[Ni]4[OH]14[Ni]3[OH]35[Ni]6[OH]2([Ni]71)[Ni]43,2
[Cu][OH]1[Cu]O[Cu]1,2
O[Hf]123(O)[OH]4[Hf]56([O]3[Hf]37([OH]2[Hf]28([O]1[Hf]14([O]6[Hf]([OH]53)([OH]21)([O]78)(O)O)([OH2])([OH2])O)[OH2])([OH2])([OH2])O)[OH2],2
O[Hf]123([OH])[OH]4[Hf]56([O]3[Hf]37([OH]2[Hf]28([O]1[Hf]14([O]6[Hf]([OH]53)([OH]21)([O]78)(O)O)([OH2])([OH])O)[OH2])([OH2])([OH2])O)[OH2],2
O[Hf]123([OH])[OH]4[Hf]56([O]3[Hf]37([OH]2[Hf]28([O]1[Hf]14([O]6[Hf]([OH]53)([OH]21)([O]78)(O)O)([OH2])([OH2])O)[OH2])([OH2])([OH])O)[OH2],2
O[Hf]123([OH2])[OH]4[Hf]56([O]3[Hf]37([OH]2[Hf]28([O]1[Hf]14([O]6[Hf]([OH]53)([OH]21)([O]78)([OH2])[OH2])([OH2])(O)O)O)([OH2])(O)O)[OH2],2
O[Zr]123([OH2])[OH]4[Zr]56([O]3[Zr]37([OH]2[Zr]28([O]1[Zr]14([O]6[Zr]([OH]53)([OH]21)([O]78)([OH2])[OH2])([OH2])(O)O)O)([OH2])(O)O)[OH2],2
[Cu][Cu]1(I)(I)[Cu][Cu]1([Cu])(I)I,1
Cl[Pb]Cl,1
[O][V]1O[V]2([O]1[Cu]O[V]1([O]([Cu]O2)[V](O1)[O])F)F,1
[OH2][Mn]([OH2][Mn][OH2][Mn]([OH2])([OH2])([OH2])[OH2])([OH2])([OH2])[OH2],1
[O][V]O[V][O],1
[Na][OH2][Na]([OH2][Na])[OH2][Na],1
[O][V](Cl)Cl,1
[O][Mo]12([O])O[Mo]34([O]1[Mo]156([O]2[Mo]27([O]86[Mo]69([O]41[Mo](O3)(O5)([O])([O])[O]6[Mo]1([O]9[Mo]8(O7)([O])([O])O1)([O])[O])(O2)[O])([O])[O])[O])([O])[O],1
[OH2][Cd]1[OH][Cd][OH][Cd][OH]([Cd]([OH][Cd][OH][Cd][OH]1[Cd]([OH2])([OH2])[OH2])[OH2])[Cd]([OH2])([OH2])[OH2],1
I[Cu]1[Cu]23[Cu]1([Cu]12[Cu]3([Cu]1I)I)I,1
[OH2][Zn][O]([Zn]([O]([Zn][OH2])[Zn])([OH2])[OH2])[Zn],1
[O][V]1[O]2[O]1[K]2([OH2])[OH2],1
[OH2][Ca]([OH2][Ca]([OH2])([OH2])([OH2])[OH2])([OH2][Ca]([OH2])([OH2])([OH2])[OH2])[OH2],1
[OH2][Zn][OH2][Na][OH2][Zn],1
I[Cu]([Cu][Cu][Cu]([Cu]([Cu][Cu][Cu](I)I)(I)I)(I)I)I,1
[OH2][Ag][OH2][Ag]1[OH2][Ag]([OH2]1)[OH2][Ag][OH2],1
[OH2][Ag][OH2][Ag]12[OH2][Ag]2([OH2]1)[OH2][Ag][OH2],1
[Ag]1[Ag]2[Ag][Ag]1[Ag]1[Ag][Ag]2[Ag]1,1
[Co][Co][Ga]1[Co][Co]1,1
[OH2][Cd][OH2][Cd],1
[Cu]1[Cu][Cu]2[Cu]3[Cu]1[Cu]23,1
Cl[Rh][Rh]Cl,1
[Sn][Sn],1
[Ni]12[OH]3[Ni]4[OH]2[Ni]256([OH]1[Ni]3[OH]42)[OH]1[Ni]2[OH]6[Ni]3[OH]5[Ni]1[OH]23,1
[OH2][Bi][OH2],1
I[Cu]([Cu]([Cu](I)I)I)[Cu](I)I,1
[Ag][O]([Pt])([Pt])[Pt],1
Cl[Tb](Cl)Cl,1
Cl[Gd](Cl)Cl,1
Br[Pd]Br,1
Cl[Al](Cl)Cl,1
[O][V](O[Cu])F,1
Cl[Pr](Cl)Cl,1
Cl[Sm]Cl,1
[OH2][Gd][Gd][OH2],1
[OH2][Dy][Dy][OH2],1
Cl[Cu]([Cu])(Cl)Cl,1
Cl[Cu]([Cu])([Cu])(Cl)Cl,1
Cl[Cu]([Cu])([Cu])Cl,1
Cl[Cu]([Cu][Cu]([Cu])(Cl)Cl)([Cu])(Cl)Cl,1
F[Zn](F)(F)F,1
[FeH],1
[Cu][OH2][K]1[OH2][K][OH2]1,1
[Ag][Ag][Ag][Ag][Ag],1
[Ag]([Ag]12[Ag][Ag]2[Ag]1)[Ag][Ag]12[Ag][Ag]2[Ag]1,1
[O][Mo]([O])[OH2],1
I[Cu]12[Cu]3[Cu]1(I)(I)[Cu][Cu]23(I)I,1
Cl[Mn]O[Mn]O[Mn]Cl,1
Cl[Ag]1[Ag][Ag]1,1
O[Dy]12[OH]3[Dy]4([OH]2[Dy]2([OH]1[Dy]3([O]42)[OH2])[OH2])[OH2],1
[Cd][OH2][K][OH2][Cd],1
Cl[Ga](Cl)Cl,1
[O][Mo]1234[Cu]5[S]3[Cu][S]2[Cu]1[S]45,1
[V]O[K]1[OH2][K]([OH2]1)O[V],1
[OH2][Co][OH]([Co])[Co],1
[Mn][O]([Mn])[Mn],1
[OH2][Y]([OH2])([OH2])[OH2],1
[OH2][Yb]1[OH2][Yb]([OH2]1)[OH2],1
[Cu]O[W]123O[W]45([O])O[W]6(O2)(O[Cu])O[W]27(O[W]8(O1)([O])O[W]1([O])(O2)O[W]29(O[W](O5)(O[W]5(O4)(O[W](O3)(O8)([O])O[W](O5)(O1)([O])O9)[O])([O])O[W](O6)(O7)([O])O2)[O])[O],1
[Ag][W][Ag],1
[Ag]I,1
Cl[Ti](Cl)(Cl)Cl,1
O[Zn][O]([Zn][OH2])([Zn])[Zn],1
[O][Mo]1234O[Mo]56([O])O[Cu]O[Mo]789([O]2[Mo]2%10([O]%113[Mo]3%12%13%14[O]1[Mo]1([O]47[Mo]%11([O]31)([O]8%10)([O])O[Mo](O%14)(O2)(O[Cu]O%13)[O])(O5)([O])O[Cu]O%12)([O])O[Cu]O9)O6,1
[Cu][OH2][Na][OH2][Na]1[OH2][Na]([OH2]1)[OH2][Na][OH2][Cu],1
[Co]O[Co],1
[OH2][Mn]([OH2][Mn][OH2][Mn]([OH2])[OH2])[OH2],1
[Dy]12[OH]3[Dy]4[OH]2[Dy]2[OH]1[Dy]3[OH]42,1
[Yb]12[OH]3[Yb]4[OH]2[Yb]2[OH]1[Yb]3[OH]42,1
[Gd]12[OH]3[Gd]4[OH]2[Gd]2[OH]1[Gd]3[OH]42,1
[K][OH2][Gd],1
[OH2][Sc]1[OH][Sc]([OH]1)[OH2],1
[Cu][OH2][Cu]([OH2])[OH2],1
[O][Cr],1
[Ag]O[Mo]123([O])O[Mo]456([O]783[Mo]3(O1)([O]5[Mo]15([O]9%106[Mo]68([O]31)([O]1[Mo]7(O2)([O]4[Mo]91([O])([O])O[Mo]%10(O6)(O5)([O])O[Ag])([O])O[Ag])[O])([O])O[Ag])([O])[O])[O],1
Br[Cu]12[S]3[Mo]4562[S]1[Cu]5([S]6[Cu]34)Br,1
[Zn]S([Zn])([Zn])[Zn],1
[Cu]O[Mo]([O])[OH2],1
[OH2][Pr]([OH2])([OH2])([OH2])([OH2])[OH2],1
[OH2][Nd]([OH2])([OH2])([OH2])([OH2])[OH2],1
[OH]1[Fe]2[Fe]1[OH]2,1
[Sb]O[Sb],1
F[Mn],1
[OH2][Ca]1([OH2])[OH2][Ca]([OH2]1)([OH2])[OH2],1
O[Zr]123([OH2])[OH]4[Zr]56[O]3[Zr]37([O]2[Zr]28[OH]1[Zr]14([O]6[Zr]([OH]53)([O]21)([OH]78)([OH2])O)([OH2])O)([OH2])O,1
[Ag]1[Ag]2[Ag][Ag]2[Ag][Ag]2[Ag]1[Ag]2,1
[Sn][OH][Sn],1
[OH2][Tb]12[OH]3[Tb]4([OH]2[Tb]2([OH]1[Tb]3([OH]42)[OH2])[OH2])[OH2],1
[OH2][Gd]12[OH]3[Gd]4([OH]2[Gd]2([OH]1[Gd]3([OH]42)[OH2])[OH2])[OH2],1
[Pb][OH]1[Pb][OH]([Pb]1)[Pb],1
[O][Mo]1([O])O[Mo]([O])([O])O[Mo]([O])(O[Mo](O[Mo](O[Mo](O1)([O])O[Zn]([OH2])([OH2])([OH2])[OH2])([O])[O])([O])[O])O[Zn]([OH2])([OH2])([OH2])[OH2],1
[Cu]O[V](F)(F)F,1
[OH2][Co][OH2][Co]([OH2])([OH2])[OH2],1
[O][Mo]123([O])O[Mo]4([O])O[Cu]O[Mo]56(O4)([O]4[Mo](O1)([O])O[Mo]17(O2)([O]3[Mo]([O])(O[Mo]4(O6)([O])([O])O[Mo](O7)(O[Cu]O1)[O])O5)[O])[O],1
[OH2][La][OH2][La]([OH2])[OH2],1
[O][V][OH2],1
[OH2][Ho](F)[OH2],1
[Fe]1[S]2[Fe]31[Fe]12[S]3[Fe]1,1
[OH2][Zn]([OH2][Zn]([OH2])([OH2])[OH2])[OH2],1
[OH2][Tb][Tb][OH2],1
[OH2][Zn][OH]([Zn]([OH]([Zn][OH2])[Zn][OH2])([OH2])[OH2])[Zn][OH2],1
[Ag][Ag][Ag]1[Ag]2[Ag]1[Ag]2[Ag]1[Ag]2[Ag]1[Ag]2[Ag][Ag],1
[N],1
[OH2][V]O[Sr]([OH2])([OH2])([OH2])[OH2],1
[Th]1[OH][Th][OH]1,1
[OH2][Ni][O]([Ni][OH2])[Ni][OH2],1
[O][U]O[Ag]([OH2])[OH2],1
[Co]12[OH]3[Co]45[OH]2[Co]264[OH]5[Co]456[Co]67([OH]1[Co]36[OH]47)[OH]25,1
[Fe][OH2][Fe]([OH2][Fe])([OH2])[OH2],1
I[Cu][Cu]([Cu]([Cu]([Cu]([Cu]I)(I)I)I)I)(I)I,1
[OH2][Zn][OH2][Zn][OH2],1
[Ca][OH2][Ca],1
[K][OH2][Cs],1
[CdH],1
[O][V](F)[O],1
[OH2][Na][OH2][Na][OH2][Na][OH2],1
[OH2][Cs]123[OH2][Cs]([OH2]1)([OH2]2)([OH2]3)[OH2],1
Br[Cu]([Cu](Br)Br)Br,1
[Cu]1[S]2[Cu][S]3[W]4562[S]1[Cu]4[S]5[Cu]36,1
[OH2][Mn][OH2][Mn]([OH2])([OH2])([OH2])[OH2],1
[Ag]1[Ag]2[Ag]31[Ag]12[Ag]3[Ag]1,1
[Zn][OH2][Zn][OH2][Zn],1
[OH2][Zn]O[Mo]1([O])O[Zn]O[Mo](O[Zn]O1)([O])O[Zn][OH2],1
[OH2][Ga](F)(F)[OH2],1
[Mn][OH]([Mn]([OH2])[OH2])[Mn][OH]([Mn]([OH2])[OH2])[Mn],1
[OH2][Sn][OH2],1
I[Cu]1[Cu]2([Cu]1([Cu]2I)I)I,1
[Mn][OH]1[Mn][OH]([Mn]1)[Mn],1
I[Cu]1(I)[Cu]2[Cu]1[Cu]2(I)I,1
Cl[Cu][Cu](Cl)(Cl)Cl,1
[O][Mo][O],1
[OH2][Gd]1[OH][Gd]([OH]1)[OH2],1
[OH2][Na][OH2][Na],1
[OH2][Th],1
[Th]O[Th],1
Br[Ag],1
Br[Cd][OH]1[Cd](Br)[OH]([Cd]1Br)[Cd]Br,1
[O][Mo]1234O[Cu]O[Mo]56(O2)([O]274[Mo]4(O1)([O])([O])[O]1[Mo]897([O]5[Mo]57([O]6[Mo]62(O3)([O]4[Mo]231([O]856[Mo](O9)(O3)(O7)([O])O[Cu]O2)[O])[O])([O])[O])[O])[O],1
[OH2][Zn][OH][Zn][OH][Zn][OH][Zn][OH][Zn][OH2],1
[OH2][Fe]([OH2])[OH2],1
Br[Cu]12[Cu]3([Cu]1([Cu]23Br)Br)Br,1
I[Pb],1
[OH2][Sm][OH2][Ag],1
[Gd][O]([Gd])[Gd].[Gd][O]([Gd])[Gd],1
[OH2][K]([OH2])[OH2],1
Br[Au],1
[OH2][Zn](I)I,1
[Pd][Pd],1
[Cu]O[Mo]([O]1[Cu]2[Cu]1[O]2[Mo](O[Cu])([O])[O])([O])[O],1
